id,canonical_key,family,domain,order,domain_size,generator_images,target_phase_order,reduced_phase_order,phase_rotation_order,image_order,kernel_elements,kernel_order,graph_nonproduct,extension_type,time_reversing,frame_divisor,tags,realized_in_moduli,translation_d4_orbit_key,quotient_projection_split,product_lattice_cover_split
dihedral-d6-eaf00ec1cbb5,dihedral|D6|6|r=rev:0/1;s=rev:1/2,dihedral,D6,6,12,r=rev:0/1;s=rev:1/2,2,2,2,4,1;r^2;r^4,3,true,split_semidirect,true,2,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,2;4;6;8;10;12,,,
dihedral-d6-c6a33a526fa7,dihedral|D6|6|r=rev:0/1;s=shift:0/1,dihedral,D6,6,12,r=rev:0/1;s=shift:0/1,2,1,1,2,1;r^2;r^4;s;r^2 s;r^4 s,6,true,direct_product,true,1,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,2;3;4;5;6;7;8;9;10;11;12,,,
dihedral-d6-42d4b0886957,dihedral|D6|6|r=rev:0/1;s=shift:1/2,dihedral,D6,6,12,r=rev:0/1;s=shift:1/2,2,2,2,4,1;r^2;r^4,3,true,split_semidirect,true,2,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,2;4;6;8;10;12,,,
dihedral-d6-0f343fd53851,dihedral|D6|6|r=rev:1/10;s=rev:1/10,dihedral,D6,6,12,r=rev:1/10;s=rev:1/10,10,10,1,2,1;r^2;r^4;r s;r^3 s;r^5 s,6,true,direct_product,true,10,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,10,,,
dihedral-d6-2c9b005e948f,dihedral|D6|6|r=rev:1/10;s=rev:3/5,dihedral,D6,6,12,r=rev:1/10;s=rev:3/5,10,10,2,4,1;r^2;r^4,3,true,split_semidirect,true,10,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,10,,,
dihedral-d6-3e83d73fd0af,dihedral|D6|6|r=rev:1/10;s=shift:0/1,dihedral,D6,6,12,r=rev:1/10;s=shift:0/1,10,10,1,2,1;r^2;r^4;s;r^2 s;r^4 s,6,true,direct_product,true,10,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,10,,,
dihedral-d6-7d5cc73d513e,dihedral|D6|6|r=rev:1/10;s=shift:1/2,dihedral,D6,6,12,r=rev:1/10;s=shift:1/2,10,10,2,4,1;r^2;r^4,3,true,split_semidirect,true,10,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,10,,,
dihedral-d6-82fea1809621,dihedral|D6|6|r=rev:1/12;s=rev:1/12,dihedral,D6,6,12,r=rev:1/12;s=rev:1/12,12,12,1,2,1;r^2;r^4;r s;r^3 s;r^5 s,6,true,direct_product,true,12,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,12,,,
dihedral-d6-136e234c4000,dihedral|D6|6|r=rev:1/12;s=rev:7/12,dihedral,D6,6,12,r=rev:1/12;s=rev:7/12,12,12,2,4,1;r^2;r^4,3,true,split_semidirect,true,12,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,12,,,
dihedral-d6-369823bc0487,dihedral|D6|6|r=rev:1/12;s=shift:0/1,dihedral,D6,6,12,r=rev:1/12;s=shift:0/1,12,12,1,2,1;r^2;r^4;s;r^2 s;r^4 s,6,true,direct_product,true,12,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,12,,,
dihedral-d6-834e7629a5c8,dihedral|D6|6|r=rev:1/12;s=shift:1/2,dihedral,D6,6,12,r=rev:1/12;s=shift:1/2,12,12,2,4,1;r^2;r^4,3,true,split_semidirect,true,12,d6;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;split_semidirect;time_reversing,12,,,
